class,score,weight
DLD,0.375,Human Satisfaction
DLD,0.6875,Human Satisfaction
NMI,0.9196676959621665,Measures
NMI,0.8840333388446567,Measures
NMI,0.5685141432600331,Measures
NMI,0.788858312404785,Measures
NMI,1.0,Measures
NMI,0.827413348513422,Measures
NMI,0.7897864049258334,Measures
NMI,0.8624905261220269,Measures
NMI,0.8074633348978081,Measures
NMI,0.8463614592013725,Measures
NMI,0.6022798799670281,Measures
NMI,0.8140539574667877,Measures
NMI,0.6646428460770816,Measures
NMI,0.8842266943984313,Measures
NMI,1.0,Measures
NMI,0.5901045232404343,Measures
NMI,0.7389055388694504,Measures
NMI,0.8105879219090323,Measures
NMI,0.8119748520767044,Measures
NMI,0.5839845602262238,Measures
NMI,0.8493299783614834,Measures
NMI,0.8510155583054115,Measures
NMI,0.9073229217495745,Measures
NMI,0.6220874773149783,Measures
NMI,0.7335036113833576,Measures
NMI,0.9297102365494723,Measures
NMI,0.375,Human Satisfaction
NMI,0.375,Human Satisfaction
NMI,0.625,Human Satisfaction
NMI,0.8125,Human Satisfaction
NMI,0.625,Human Satisfaction
NMI,0.5,Human Satisfaction
NMI,0.25,Human Satisfaction
NMI,0.375,Human Satisfaction
NMI,0.5,Human Satisfaction
NMI,0.5625,Human Satisfaction
NMI,0.75,Human Satisfaction
NMI,0.375,Human Satisfaction
NMI,0.625,Human Satisfaction
NMI,0.5,Human Satisfaction
NMI,1.0,Human Satisfaction
NMI,0.5,Human Satisfaction
NMI,0.5,Human Satisfaction
NMI,0.5,Human Satisfaction
NMI,0.5625,Human Satisfaction
NMI,0.5625,Human Satisfaction
NMI,0.3125,Human Satisfaction
NMI,0.5,Human Satisfaction
NMI,0.25,Human Satisfaction
NMI,0.0625,Human Satisfaction
NMI,0.1875,Human Satisfaction
NMI,0.4166666666666667,Human Satisfaction
ARI,0.9255813953488372,Measures
ARI,0.9018567639257294,Measures
ARI,0.28665077473182365,Measures
ARI,0.5813953488372093,Measures
ARI,1.0,Measures
ARI,0.6336464560204953,Measures
ARI,0.5494934119773581,Measures
ARI,0.7454545454545455,Measures
ARI,0.6625072953721363,Measures
ARI,0.7582697201017813,Measures
ARI,0.21722846441947566,Measures
ARI,0.7421875,Measures
ARI,0.4410894941634242,Measures
ARI,0.8226754234358797,Measures
ARI,1.0,Measures
ARI,0.25801452738363495,Measures
ARI,0.5680293279333134,Measures
ARI,0.7584222705381755,Measures
ARI,0.6172839506172839,Measures
ARI,0.32066115702479336,Measures
ARI,0.5645933014354066,Measures
ARI,0.7705373075143744,Measures
ARI,0.9508772230471031,Measures
ARI,0.267503805175038,Measures
ARI,0.5051125687343655,Measures
ARI,0.8432655873234585,Measures
ARI,0.375,Human Satisfaction
ARI,0.375,Human Satisfaction
ARI,0.625,Human Satisfaction
ARI,0.8125,Human Satisfaction
ARI,0.625,Human Satisfaction
ARI,0.5,Human Satisfaction
ARI,0.25,Human Satisfaction
ARI,0.375,Human Satisfaction
ARI,0.5,Human Satisfaction
ARI,0.5625,Human Satisfaction
ARI,0.75,Human Satisfaction
ARI,0.375,Human Satisfaction
ARI,0.625,Human Satisfaction
ARI,0.5,Human Satisfaction
ARI,1.0,Human Satisfaction
ARI,0.5,Human Satisfaction
ARI,0.5,Human Satisfaction
ARI,0.5,Human Satisfaction
ARI,0.5625,Human Satisfaction
ARI,0.5625,Human Satisfaction
ARI,0.3125,Human Satisfaction
ARI,0.5,Human Satisfaction
ARI,0.25,Human Satisfaction
ARI,0.0625,Human Satisfaction
ARI,0.1875,Human Satisfaction
ARI,0.4166666666666667,Human Satisfaction
Shen-F,0.9107142857142858,Measures
Shen-F,0.9390589569160996,Measures
Shen-F,0.8040069686411149,Measures
Shen-F,0.8642193719593101,Measures
Shen-F,1.0,Measures
Shen-F,0.8461538461538463,Measures
Shen-F,0.7999108734402852,Measures
Shen-F,0.8730158730158729,Measures
Shen-F,0.8651948954219688,Measures
Shen-F,0.8795518207282913,Measures
Shen-F,0.695906432748538,Measures
Shen-F,0.8947250280583614,Measures
Shen-F,0.7310090702947847,Measures
Shen-F,0.9019607843137254,Measures
Shen-F,0.9999999999999999,Measures
Shen-F,0.5599680814354727,Measures
Shen-F,0.7759523102038506,Measures
Shen-F,0.8826221728178274,Measures
Shen-F,0.8590909090909091,Measures
Shen-F,0.820662768031189,Measures
Shen-F,0.8095238095238095,Measures
Shen-F,0.9495192307692307,Measures
Shen-F,0.9595434764231254,Measures
Shen-F,0.580781954887218,Measures
Shen-F,0.7572195383789587,Measures
Shen-F,0.9610389610389609,Measures
Shen-F,0.375,Human Satisfaction
Shen-F,0.375,Human Satisfaction
Shen-F,0.625,Human Satisfaction
Shen-F,0.8125,Human Satisfaction
Shen-F,0.625,Human Satisfaction
Shen-F,0.5,Human Satisfaction
Shen-F,0.25,Human Satisfaction
Shen-F,0.375,Human Satisfaction
Shen-F,0.5,Human Satisfaction
Shen-F,0.5625,Human Satisfaction
Shen-F,0.75,Human Satisfaction
Shen-F,0.375,Human Satisfaction
Shen-F,0.625,Human Satisfaction
Shen-F,0.5,Human Satisfaction
Shen-F,1.0,Human Satisfaction
Shen-F,0.5,Human Satisfaction
Shen-F,0.5,Human Satisfaction
Shen-F,0.5,Human Satisfaction
Shen-F,0.5625,Human Satisfaction
Shen-F,0.5625,Human Satisfaction
Shen-F,0.3125,Human Satisfaction
Shen-F,0.5,Human Satisfaction
Shen-F,0.25,Human Satisfaction
Shen-F,0.0625,Human Satisfaction
Shen-F,0.1875,Human Satisfaction
Shen-F,0.4166666666666667,Human Satisfaction
F1,0.0,Measures
F1,0.375,Measures
F1,0.0,Measures
F1,0.6666666666666666,Measures
F1,0.0,Measures
F1,0.0,Measures
F1,0.375,Measures
F1,0.3333333333333333,Measures
F1,0.0,Measures
F1,0.25,Measures
F1,0.4,Measures
F1,0.6666666666666666,Measures
F1,0.75,Measures
F1,0.8571428571428571,Measures
F1,0.375,Measures
F1,1.0,Measures
F1,0.4,Measures
F1,0.8571428571428571,Measures
F1,0.6,Measures
F1,0.375,Measures
F1,0.0,Measures
F1,0.6,Measures
F1,0.0,Measures
F1,0.0,Measures
F1,0.25,Human Satisfaction
F1,0.4375,Human Satisfaction
F1,0.1875,Human Satisfaction
F1,0.5625,Human Satisfaction
F1,0.25,Human Satisfaction
F1,0.375,Human Satisfaction
F1,0.125,Human Satisfaction
F1,0.375,Human Satisfaction
F1,0.0625,Human Satisfaction
F1,0.375,Human Satisfaction
F1,0.5,Human Satisfaction
F1,0.75,Human Satisfaction
F1,0.9375,Human Satisfaction
F1,0.875,Human Satisfaction
F1,0.5625,Human Satisfaction
F1,1.0,Human Satisfaction
F1,0.4375,Human Satisfaction
F1,0.75,Human Satisfaction
F1,0.625,Human Satisfaction
F1,0.5625,Human Satisfaction
F1,0.3125,Human Satisfaction
F1,0.625,Human Satisfaction
F1,0.25,Human Satisfaction
F1,0.3125,Human Satisfaction
DLD,0.3084397747892602,Measures
DLD,0.4410617698493545,Measures
DLD,0.14052811263042592,Measures
DLD,0.5892760555636403,Measures
DLD,0.3396308047786266,Measures
DLD,0.44012545835270084,Measures
DLD,0.2648947182991742,Measures
DLD,0.4363553303279918,Measures
DLD,0.3391486811043731,Measures
DLD,0.2774138491618955,Measures
DLD,0.6031503238117759,Measures
DLD,0.7724436815573028,Measures
DLD,0.8843624345440554,Measures
DLD,0.8726287063411217,Measures
DLD,0.553329584131996,Measures
DLD,1.0,Measures
DLD,0.49881381131457436,Measures
DLD,0.7574074075104651,Measures
DLD,0.6197444808911058,Measures
DLD,0.5081309919190391,Measures
DLD,0.3110250179066762,Measures
DLD,0.6241006915718642,Measures
DLD,0.3698056250915718,Measures
DLD,0.3449584141396043,Measures
DLD,0.25,Human Satisfaction
DLD,0.4375,Human Satisfaction
DLD,0.1875,Human Satisfaction
DLD,0.5625,Human Satisfaction
DLD,0.25,Human Satisfaction
DLD,0.375,Human Satisfaction
DLD,0.125,Human Satisfaction
DLD,0.375,Human Satisfaction
DLD,0.0625,Human Satisfaction
DLD,0.375,Human Satisfaction
DLD,0.5,Human Satisfaction
DLD,0.75,Human Satisfaction
DLD,0.9375,Human Satisfaction
DLD,0.875,Human Satisfaction
DLD,0.5625,Human Satisfaction
DLD,1.0,Human Satisfaction
DLD,0.4375,Human Satisfaction
DLD,0.75,Human Satisfaction
DLD,0.625,Human Satisfaction
DLD,0.5625,Human Satisfaction
DLD,0.3125,Human Satisfaction
DLD,0.625,Human Satisfaction
DLD,0.25,Human Satisfaction
DLD,0.3125,Human Satisfaction
NMI,1.0,Measures
NMI,0.7523875744847286,Measures
NMI,0.8108090027964903,Measures
NMI,0.8646877344762508,Measures
NMI,0.8682530320742113,Measures
NMI,0.8960661106138214,Measures
NMI,0.9750510826009756,Measures
NMI,0.7034871900693079,Measures
NMI,0.8602345859661007,Measures
NMI,1.0,Measures
NMI,0.9379733202058751,Measures
NMI,0.7155040143376407,Measures
NMI,1.0,Measures
NMI,0.897706449507158,Measures
NMI,0.9240164238987353,Measures
NMI,0.9151467392358676,Measures
NMI,0.8836263825568998,Measures
NMI,0.88151277683204,Measures
NMI,0.8348266848286133,Measures
NMI,0.8974934246485152,Measures
NMI,0.7505368685199583,Measures
NMI,0.9774598481792723,Measures
NMI,0.8148217754339074,Measures
NMI,0.7432986949250352,Measures
NMI,0.7794949394566775,Measures
NMI,0.3125,Human Satisfaction
NMI,0.25,Human Satisfaction
NMI,0.5,Human Satisfaction
NMI,0.3333333333333333,Human Satisfaction
NMI,0.5,Human Satisfaction
NMI,0.25,Human Satisfaction
NMI,0.6875,Human Satisfaction
NMI,0.3333333333333333,Human Satisfaction
NMI,0.75,Human Satisfaction
NMI,0.5625,Human Satisfaction
NMI,0.625,Human Satisfaction
NMI,0.375,Human Satisfaction
NMI,0.375,Human Satisfaction
NMI,0.5833333333333334,Human Satisfaction
NMI,0.3125,Human Satisfaction
NMI,0.5,Human Satisfaction
NMI,0.25,Human Satisfaction
NMI,0.625,Human Satisfaction
NMI,0.5625,Human Satisfaction
NMI,0.4375,Human Satisfaction
NMI,0.3333333333333333,Human Satisfaction
NMI,0.5625,Human Satisfaction
NMI,0.3125,Human Satisfaction
NMI,0.3125,Human Satisfaction
NMI,0.1875,Human Satisfaction
ARI,1.0,Measures
ARI,0.5512239347234814,Measures
ARI,0.6710044219835755,Measures
ARI,0.743111139232497,Measures
ARI,0.8144525086778164,Measures
ARI,0.8505042187221543,Measures
ARI,0.9909184121869049,Measures
ARI,0.39941734825067704,Measures
ARI,0.8420205817258336,Measures
ARI,1.0,Measures
ARI,0.9306084899461166,Measures
ARI,0.4180961131306675,Measures
ARI,1.0,Measures
ARI,0.8890629078569564,Measures
ARI,0.8886703913553898,Measures
ARI,0.9273828824985068,Measures
ARI,0.8651269174352982,Measures
ARI,0.7756649930562974,Measures
ARI,0.7505557816952124,Measures
ARI,0.8551031582862397,Measures
ARI,0.48991935483870963,Measures
ARI,0.989405151236568,Measures
ARI,0.5798509719543694,Measures
ARI,0.5872536949066565,Measures
ARI,0.7152751952398662,Measures
ARI,0.3125,Human Satisfaction
ARI,0.25,Human Satisfaction
ARI,0.5,Human Satisfaction
ARI,0.3333333333333333,Human Satisfaction
ARI,0.5,Human Satisfaction
ARI,0.25,Human Satisfaction
ARI,0.6875,Human Satisfaction
ARI,0.3333333333333333,Human Satisfaction
ARI,0.75,Human Satisfaction
ARI,0.5625,Human Satisfaction
ARI,0.625,Human Satisfaction
ARI,0.375,Human Satisfaction
ARI,0.375,Human Satisfaction
ARI,0.5833333333333334,Human Satisfaction
ARI,0.3125,Human Satisfaction
