project,differences,metrics
Appium,0.16666666666666663,F1
Appium,0.1875,F1
Appium,0.0803571428571429,F1
Appium,0.0803571428571429,F1
Appium,0.1071428571428571,F1
Appium,0.0,F1
Appium,0.125,F1
Appium,0.1071428571428571,F1
Appium,0.03749999999999998,F1
Appium,0.0,F1
Appium,0.1875,F1
Appium,0.3125,F1
Appium,0.375,F1
Appium,0.375,F1
Appium,0.0,F1
Appium,0.02083333333333337,F1
Appium,0.021021796199502396,DLD
Appium,0.1579189990953992,DLD
Appium,0.016966046986460814,DLD
Appium,0.03800479962085512,DLD
Appium,0.0008241560899964195,DLD
Appium,0.06643750380554841,DLD
Appium,0.0022836755128705644,DLD
Appium,0.19525741268224328,DLD
Appium,0.023223973234217432,DLD
Appium,0.07679347943443915,DLD
Appium,0.05839931049810454,DLD
Appium,0.006060606060861562,DLD
Appium,0.0,DLD
Appium,0.08096014610110591,DLD
Appium,0.11576735616856215,DLD
Appium,0.08214671793888562,DLD
Appium,0.0,DLD
Appium,0.10567778493337687,DLD
Appium,0.051184383527919874,DLD
Appium,0.01948785617664678,DLD
Appium,0.025603514132925886,DLD
Appium,0.1463021085977117,DLD
Appium,0.03617786294866787,DLD
docker,0.5446676959621665,NMI
docker,0.5090333388446567,NMI
docker,0.056485856739966867,NMI
docker,0.02364168759521501,NMI
docker,0.375,NMI
docker,0.32741334851342196,NMI
docker,0.5397864049258334,NMI
docker,0.4874905261220269,NMI
docker,0.3074633348978081,NMI
docker,0.2838614592013725,NMI
docker,0.14772012003297186,NMI
docker,0.43905395746678766,NMI
docker,0.03964284607708157,NMI
docker,0.38422669439843127,NMI
docker,0.0,NMI
docker,0.09010452324043428,NMI
docker,0.23890553886945043,NMI
docker,0.3105879219090323,NMI
docker,0.2494748520767044,NMI
docker,0.021484560226223803,NMI
docker,0.5368299783614834,NMI
docker,0.35101555830541153,NMI
docker,0.6573229217495745,NMI
docker,0.5595874773149783,NMI
docker,0.5460036113833576,NMI
docker,0.5130435698828055,NMI
docker,0.5505813953488372,ARI
docker,0.5268567639257294,ARI
docker,0.33834922526817635,ARI
docker,0.23110465116279066,ARI
docker,0.375,ARI
docker,0.1336464560204953,ARI
docker,0.2994934119773581,ARI
docker,0.3704545454545455,ARI
docker,0.16250729537213626,ARI
docker,0.19576972010178129,ARI
docker,0.5327715355805244,ARI
docker,0.3671875,ARI
docker,0.1839105058365758,ARI
docker,0.32267542343587974,ARI
docker,0.0,ARI
docker,0.24198547261636505,ARI
docker,0.0680293279333134,ARI
docker,0.25842227053817546,ARI
docker,0.054783950617283916,ARI
docker,0.24183884297520664,ARI
docker,0.25209330143540665,ARI
docker,0.27053730751437444,ARI
docker,0.7008772230471031,ARI
docker,0.20500380517503802,ARI
docker,0.3176125687343655,ARI
docker,0.4265989206567918,ARI
docker,0.5357142857142858,Shen-F
docker,0.5640589569160996,Shen-F
docker,0.17900696864111487,Shen-F
docker,0.05171937195931009,Shen-F
docker,0.375,Shen-F
docker,0.34615384615384626,Shen-F
docker,0.5499108734402852,Shen-F
docker,0.4980158730158729,Shen-F
docker,0.3651948954219688,Shen-F
docker,0.3170518207282913,Shen-F
docker,0.05409356725146197,Shen-F
docker,0.5197250280583614,Shen-F
docker,0.10600907029478468,Shen-F
docker,0.4019607843137254,Shen-F
docker,1.1102230246251565e-16,Shen-F
docker,0.05996808143547272,Shen-F
docker,0.2759523102038506,Shen-F
docker,0.3826221728178274,Shen-F
docker,0.2965909090909091,Shen-F
docker,0.258162768031189,Shen-F
docker,0.49702380952380953,Shen-F
docker,0.4495192307692307,Shen-F
docker,0.7095434764231254,Shen-F
docker,0.518281954887218,Shen-F
docker,0.5697195383789587,Shen-F
docker,0.5443722943722942,Shen-F
docker,0.25,F1
docker,0.0625,F1
docker,0.1875,F1
docker,0.10416666666666663,F1
docker,0.25,F1
docker,0.375,F1
docker,0.25,F1
docker,0.041666666666666685,F1
docker,0.0625,F1
docker,0.125,F1
docker,0.09999999999999998,F1
docker,0.08333333333333337,F1
docker,0.1875,F1
